datetime,relative_humidity,relative_humidity(sensor)
2024/7/6 6:00,92,63.3
2024/7/6 7:00,86,63.4
2024/7/6 8:00,80,62.6
2024/7/6 9:00,77,43.1
2024/7/6 10:00,72,57.7
2024/7/6 11:00,67,58
2024/7/6 12:00,68,59.1
2024/7/6 13:00,57,60.1
2024/7/6 14:00,57,51.7
2024/7/6 15:00,58,57.3
2024/7/6 16:00,73,55.7
2024/7/6 17:00,98,57.9
2024/7/6 18:00,99,62.2
2024/7/6 19:00,97,63.4
2024/7/6 20:00,98,63.7
2024/7/6 21:00,92,63.8
2024/7/6 22:00,91,63.5
2024/7/6 23:00,96,63.2
2024/7/7 0:00,97,63.1
2024/7/7 1:00,97,63.2
2024/7/7 2:00,98,63.2
2024/7/7 3:00,100,62.9
2024/7/7 4:00,100,63.1
2024/7/7 5:00,99,63.6
2024/7/7 6:00,94,61.6
2024/7/7 7:00,91,61.5
2024/7/7 8:00,86,61
2024/7/7 9:00,80,53.3
2024/7/7 10:00,77,59.3
2024/7/7 11:00,70,59.6
2024/7/7 12:00,56,52.3
2024/7/7 13:00,56,56.9
2024/7/7 14:00,48,53.5
2024/7/7 15:00,52,56.3
2024/7/7 16:00,51,57.9
2024/7/7 17:00,49,59.6
2024/7/7 18:00,53,53.9
2024/7/7 19:00,57,55.9
2024/7/7 20:00,62,57.4
2024/7/7 21:00,69,57.8
2024/7/7 22:00,74,59.1
2024/7/7 23:00,80,60
2024/7/8 0:00,85,60.6
2024/7/8 1:00,83,61.1
2024/7/8 2:00,88,61.5
2024/7/8 3:00,94,61.6
2024/7/8 4:00,90,62.1
2024/7/8 5:00,90,61.9
2024/7/8 6:00,76,60.1
2024/7/8 7:00,72,58.1
2024/7/8 8:00,63,52.6
2024/7/8 9:00,64,44
2024/7/8 10:00,59,49.6
2024/7/8 11:00,50,47.5
2024/7/8 12:00,54,56
2024/7/8 13:00,54,52.9
2024/7/8 14:00,52,60.8
2024/7/8 15:00,37,59.3
2024/7/8 16:00,43,53.1
2024/7/8 17:00,40,53.2
2024/7/8 18:00,46,59.6
2024/7/8 19:00,51,57.3
2024/7/8 20:00,68,57.6
2024/7/8 21:00,72,58.1
2024/7/8 22:00,78,59.2
2024/7/8 23:00,74,59.1
2024/7/9 0:00,75,58.7
2024/7/9 1:00,76,58.4
2024/7/9 2:00,79,58.4
2024/7/9 3:00,89,58.2
2024/7/9 4:00,85,58.2
2024/7/9 5:00,90,58.3
2024/7/9 6:00,86,60
2024/7/9 7:00,75,45.7
2024/7/9 8:00,77,46.4
2024/7/9 9:00,77,59.6
2024/7/9 10:00,78,54.1
2024/7/9 11:00,69,58.6
2024/7/9 12:00,52,59.9
2024/7/9 13:00,47,48.2
2024/7/9 14:00,53,57.3
2024/7/9 15:00,66,59.9
2024/7/9 16:00,68,60.9
2024/7/9 17:00,67,62.2
2024/7/9 18:00,63,61.9
2024/7/9 19:00,76,58.7
2024/7/9 20:00,73,59.3
2024/7/9 21:00,83,60
2024/7/9 22:00,80,59.7
2024/7/9 23:00,81,60.6
2024/7/10 0:00,78,59.1
2024/7/10 1:00,73,58
2024/7/10 2:00,78,57.4
2024/7/10 3:00,81,56.5
2024/7/10 4:00,76,56.4
2024/7/10 5:00,82,56.4
2024/7/10 6:00,82,58.2
2024/7/10 7:00,85,57.1
2024/7/10 8:00,74,55
2024/7/10 9:00,71,60.4
2024/7/10 10:00,68,56.8
2024/7/10 11:00,72,57.2
2024/7/10 12:00,78,53.1
2024/7/10 13:00,79,52.1
2024/7/10 14:00,80,61.9
2024/7/10 15:00,79,60.5
2024/7/10 16:00,79,61.8
2024/7/10 17:00,67,62
2024/7/10 18:00,61,59.2
2024/7/10 19:00,64,58
2024/7/10 20:00,75,60.3
2024/7/10 21:00,82,62.2
2024/7/10 22:00,87,62.4
2024/7/10 23:00,85,61
2024/7/11 0:00,86,61.8
2024/7/11 1:00,78,61.3
2024/7/11 2:00,90,62
2024/7/11 3:00,93,61.3
2024/7/11 4:00,97,61.5
2024/7/11 5:00,97,61.7
2024/7/11 6:00,97,63.2
2024/7/11 7:00,98,50.3
2024/7/11 8:00,96,58.5
2024/7/11 9:00,91,60.7
2024/7/11 10:00,89,63
2024/7/11 11:00,86,63.1
2024/7/11 12:00,87,62.1
2024/7/11 13:00,77,56
2024/7/11 14:00,79,63.5
2024/7/11 15:00,79,58
2024/7/11 16:00,80,63.4
2024/7/11 17:00,79,62.1
2024/7/11 18:00,80,65
2024/7/11 19:00,88,61.6
2024/7/11 20:00,87,61.2
2024/7/11 21:00,87,61.5
2024/7/11 22:00,91,60.9
2024/7/11 23:00,91,60.7
2024/7/12 0:00,91,60.8
2024/7/12 1:00,93,61.2
2024/7/12 2:00,93,61.3
2024/7/12 3:00,90,61.1
2024/7/12 4:00,93,61.2
2024/7/12 5:00,96,61.2
2024/7/12 6:00,96,61.2
2024/7/12 7:00,94,56.2
2024/7/12 8:00,97,60.3
2024/7/12 9:00,96,60.5
2024/7/12 10:00,97,65.2
2024/7/12 11:00,93,64.6
2024/7/12 12:00,88,63.4
2024/7/12 13:00,86,60.3
2024/7/12 14:00,91,65.5
2024/7/12 15:00,98,67.4
2024/7/12 16:00,100,67.7
2024/7/12 17:00,100,70.3
2024/7/12 18:00,100,68.5
2024/7/12 19:00,98,65.8
2024/7/12 20:00,99,65.7
2024/7/12 21:00,99,65.4
2024/7/12 22:00,99,65
2024/7/12 23:00,100,63.9
2024/7/13 0:00,100,64
2024/7/13 1:00,100,64.2
2024/7/13 2:00,100,64.2
2024/7/13 3:00,100,64.4
2024/7/13 4:00,100,63.9
2024/7/13 5:00,100,63.5
2024/7/13 6:00,95,57.9
2024/7/13 7:00,89,61.8
2024/7/13 8:00,83,62.5
2024/7/13 9:00,75,61.4
2024/7/13 10:00,74,63.8
2024/7/13 11:00,61,61.9
2024/7/13 12:00,56,62.7
2024/7/13 13:00,58,61.8
2024/7/13 14:00,54,60.9
2024/7/13 15:00,47,62.8
2024/7/13 16:00,44,60.2
2024/7/13 17:00,60,62
2024/7/13 18:00,76,64.1
2024/7/13 19:00,78,60.4
2024/7/13 20:00,81,61.2
2024/7/13 21:00,83,60.9
2024/7/13 22:00,83,61.6
2024/7/13 23:00,87,61.5
2024/7/14 0:00,86,61.6
2024/7/14 1:00,90,61.9
2024/7/14 2:00,92,62.1
2024/7/14 3:00,92,62.7
2024/7/14 4:00,93,62.5
2024/7/14 5:00,93,63
2024/7/14 6:00,94,61.4
2024/7/14 7:00,95,62.2
2024/7/14 8:00,100,59.8
2024/7/14 9:00,99,63.8
2024/7/14 10:00,98,60.4
2024/7/14 11:00,98,64.4
2024/7/14 12:00,98,61.9
2024/7/14 13:00,98,64.2
2024/7/14 14:00,92,64.9
2024/7/14 15:00,90,61.4
2024/7/14 16:00,90,65.5
2024/7/14 17:00,96,66.8
2024/7/14 18:00,98,65.2
2024/7/14 19:00,98,65
2024/7/14 20:00,97,66.4
2024/7/14 21:00,99,66.2
2024/7/14 22:00,99,66
2024/7/14 23:00,98,66.1
2024/7/15 0:00,100,66.4
2024/7/15 1:00,100,66.4
2024/7/15 2:00,100,66.1
2024/7/15 3:00,100,66.3
2024/7/15 4:00,100,66.5
2024/7/15 5:00,97,66.8
2024/7/15 6:00,97,63.1
2024/7/15 7:00,95,60.1
2024/7/15 8:00,98,62.5
2024/7/15 9:00,97,61.2
2024/7/15 10:00,98,64.1
2024/7/15 11:00,99,64.8
2024/7/15 12:00,91,58.1
2024/7/15 13:00,83,61.9
2024/7/15 14:00,82,59.8
2024/7/15 15:00,79,64.5
2024/7/15 16:00,79,61.6
2024/7/15 17:00,84,64.4
2024/7/15 18:00,84,64.6
2024/7/15 19:00,81,63.7
2024/7/15 20:00,78,65.1
2024/7/15 21:00,79,64.4
2024/7/15 22:00,79,63.9
2024/7/15 23:00,81,63.2
2024/7/16 0:00,78,62.9
2024/7/16 1:00,79,62.4
2024/7/16 2:00,82,63
2024/7/16 3:00,84,61.9
2024/7/16 4:00,85,62.6
2024/7/16 5:00,86,62.3
2024/7/16 6:00,89,63.1
2024/7/16 7:00,89,59.7
2024/7/16 8:00,86,64.4
2024/7/16 9:00,83,66.1
2024/7/16 10:00,83,63.9
2024/7/16 11:00,87,61.5
2024/7/16 12:00,80,62.7
2024/7/16 13:00,79,66.5
2024/7/16 14:00,84,68.5
2024/7/16 15:00,91,67.1
2024/7/16 16:00,97,68.8
2024/7/16 17:00,99,71.6
2024/7/16 18:00,100,71.6
2024/7/16 19:00,97,70.2
2024/7/16 20:00,100,69.6
2024/7/16 21:00,100,69.2
2024/7/16 22:00,99,69
2024/7/16 23:00,100,68.1
2024/7/17 0:00,100,68.8
2024/7/17 1:00,100,68.2
2024/7/17 2:00,100,68.5
2024/7/17 3:00,100,68.7
2024/7/17 4:00,100,68.6
2024/7/17 5:00,100,68.6
2024/7/17 6:00,100,65.2
2024/7/17 7:00,98,64.7
2024/7/17 8:00,93,68.1
2024/7/17 9:00,88,60.1
2024/7/17 10:00,83,62.1
2024/7/17 11:00,79,63.4
2024/7/17 12:00,71,64
2024/7/17 13:00,71,67.8
2024/7/17 14:00,67,64.5
2024/7/17 15:00,63,65.2
2024/7/17 16:00,59,62
2024/7/17 17:00,71,64.7
2024/7/17 18:00,78,63.5
2024/7/17 19:00,79,63.9
2024/7/17 20:00,85,66.6
2024/7/17 21:00,88,68.7
2024/7/17 22:00,83,69.2
2024/7/17 23:00,83,68.7
2024/7/18 0:00,88,67.7
2024/7/18 1:00,90,67.2
2024/7/18 2:00,92,67.2
2024/7/18 3:00,90,66.2
2024/7/18 4:00,89,66.5
2024/7/18 5:00,95,66
2024/7/18 6:00,96,64.7
2024/7/18 7:00,93,63.6
2024/7/18 8:00,83,66.2
2024/7/18 9:00,82,62.7
2024/7/18 10:00,74,58.3
2024/7/18 11:00,70,66.8
2024/7/18 12:00,62,63.8
2024/7/18 13:00,57,63.2
2024/7/18 14:00,54,63.8
2024/7/18 15:00,53,66.6
2024/7/18 16:00,52,65.7
2024/7/18 17:00,62,63.1
2024/7/18 18:00,62,66.6
2024/7/18 19:00,73,62.6
2024/7/18 20:00,75,63.6
2024/7/18 21:00,79,64
2024/7/18 22:00,83,64.4
2024/7/18 23:00,84,64.7
2024/7/19 0:00,86,64.9
2024/7/19 1:00,91,65
2024/7/19 2:00,97,64.9
2024/7/19 3:00,96,64.8
2024/7/19 4:00,99,65
2024/7/19 5:00,100,65.3
2024/7/19 6:00,100,56.7
2024/7/19 7:00,94,57
2024/7/19 8:00,88,63.1
2024/7/19 9:00,84,60.5
2024/7/19 10:00,76,65.7
2024/7/19 11:00,61,62.4
2024/7/19 12:00,59,57.9
2024/7/19 13:00,54,61.5
2024/7/19 14:00,49,64.2
2024/7/19 15:00,46,61.1
2024/7/19 16:00,52,63.2
2024/7/19 17:00,56,60.7
2024/7/19 18:00,55,62.3
2024/7/19 19:00,63,60.6
2024/7/19 20:00,66,60.9
2024/7/19 21:00,68,61.5
2024/7/19 22:00,71,62.3
2024/7/19 23:00,74,62.4
2024/7/20 0:00,85,62.8
2024/7/20 1:00,93,63.5
2024/7/20 2:00,95,63.7
2024/7/20 3:00,97,63.9
2024/7/20 4:00,98,64.4
2024/7/20 5:00,99,64.1
2024/7/20 6:00,95,58.7
2024/7/20 7:00,88,63
2024/7/20 8:00,81,59.1
2024/7/20 9:00,71,60.8
2024/7/20 10:00,67,63.3
2024/7/20 11:00,64,62
2024/7/20 12:00,54,61.6
2024/7/20 13:00,64,59.1
2024/7/20 14:00,59,60.1
2024/7/20 15:00,56,57.5
2024/7/20 16:00,52,61.4
2024/7/20 17:00,60,57.3
2024/7/20 18:00,65,63.5
2024/7/20 19:00,65,60.8
2024/7/20 20:00,97,62.5
2024/7/20 21:00,90,63.7
2024/7/20 22:00,100,64.2
2024/7/20 23:00,99,64.1
2024/7/21 0:00,98,64
2024/7/21 1:00,98,63.9
2024/7/21 2:00,98,63.9
2024/7/21 3:00,99,63.9
2024/7/21 4:00,99,63.9
2024/7/21 5:00,100,64.2
2024/7/21 6:00,98,62.3
2024/7/21 7:00,93,57.4
2024/7/21 8:00,87,54.2
2024/7/21 9:00,79,57.1
2024/7/21 10:00,72,55.4
2024/7/21 11:00,71,59.2
2024/7/21 12:00,66,59
2024/7/21 13:00,53,56.5
2024/7/21 14:00,46,56.4
2024/7/21 15:00,49,61.2
2024/7/21 16:00,51,56.6
2024/7/21 17:00,53,58.6
2024/7/21 18:00,56,60.4
2024/7/21 19:00,62,56
2024/7/21 20:00,67,56.6
2024/7/21 21:00,73,57.2
2024/7/21 22:00,78,57.8
2024/7/21 23:00,83,58
2024/7/22 0:00,89,58.4
2024/7/22 1:00,93,58.8
2024/7/22 2:00,94,59.2
2024/7/22 3:00,95,59.5
2024/7/22 4:00,96,60.3
2024/7/22 5:00,97,61.1
2024/7/22 6:00,93,59.1
2024/7/22 7:00,84,52.5
2024/7/22 8:00,78,56.8
2024/7/22 9:00,72,60
2024/7/22 10:00,71,58.9
2024/7/22 11:00,64,57.7
2024/7/22 12:00,57,54.7
2024/7/22 13:00,57,56.9
2024/7/22 14:00,48,54.9
2024/7/22 15:00,64,53.7
2024/7/22 16:00,59,55
2024/7/22 17:00,67,59.1
2024/7/22 18:00,60,58.5
2024/7/22 19:00,69,57.5
2024/7/22 20:00,75,57.8
2024/7/22 21:00,99,58.9
2024/7/22 22:00,99,61.7
2024/7/22 23:00,100,60.9
2024/7/23 0:00,99,60.9
2024/7/23 1:00,97,61.1
2024/7/23 2:00,98,60.7
2024/7/23 3:00,100,60.5
2024/7/23 4:00,99,60.7
2024/7/23 5:00,99,60.2
2024/7/23 6:00,95,59
2024/7/23 7:00,85,54.2
2024/7/23 8:00,79,60.3
2024/7/23 9:00,76,59.1
2024/7/23 10:00,62,57
2024/7/23 11:00,58,59.9
2024/7/23 12:00,52,57.4
2024/7/23 13:00,51,59.7
2024/7/23 14:00,51,56.9
2024/7/23 15:00,50,60.6
2024/7/23 16:00,50,60.7
2024/7/23 17:00,58,60.7
2024/7/23 18:00,53,57.4
2024/7/23 19:00,63,54.8
2024/7/23 20:00,67,57.4
2024/7/23 21:00,68,57.1
2024/7/23 22:00,78,58.2
2024/7/23 23:00,83,58.7
2024/7/24 0:00,90,58.8
2024/7/24 1:00,97,60.1
2024/7/24 2:00,96,60.5
2024/7/24 3:00,93,60.8
2024/7/24 4:00,91,59.8
2024/7/24 5:00,93,59.3
2024/7/24 6:00,86,59.1
2024/7/24 7:00,79,48.1
2024/7/24 8:00,74,49.6
2024/7/24 9:00,60,58.7
2024/7/24 10:00,56,55.5
2024/7/24 11:00,58,58.5
2024/7/24 12:00,49,55.4
2024/7/24 13:00,81,58.7
2024/7/24 14:00,86,58.3
2024/7/24 15:00,78,47.6
2024/7/24 16:00,72,48.8
2024/7/24 17:00,58,60.7
2024/7/24 18:00,61,54.3
2024/7/24 19:00,60,57
2024/7/24 20:00,67,57.2
2024/7/24 21:00,71,56.7
2024/7/24 22:00,79,56.9
2024/7/24 23:00,75,57.7
2024/7/25 0:00,87,56
2024/7/25 1:00,81,57.7
2024/7/25 2:00,82,59.1
2024/7/25 3:00,85,57.9
2024/7/25 4:00,83,58.4
2024/7/25 5:00,89,59
2024/7/25 6:00,87,56.6
2024/7/25 7:00,79,56
2024/7/25 8:00,77,55.4
2024/7/25 9:00,71,56.9
2024/7/25 10:00,61,61.2
2024/7/25 11:00,59,58.2
2024/7/25 12:00,53,61.5
2024/7/25 13:00,53,54.6
2024/7/25 14:00,48,61.6
2024/7/25 15:00,49,61
2024/7/25 16:00,52,55.3
2024/7/25 17:00,54,61.7
2024/7/25 18:00,73,57.1
2024/7/25 19:00,90,56.4
2024/7/25 20:00,90,60.2
2024/7/25 21:00,91,60.7
2024/7/25 22:00,94,60.2
2024/7/25 23:00,93,59.9
2024/7/26 0:00,88,59.9
2024/7/26 1:00,89,59.6
2024/7/26 2:00,90,58.9
2024/7/26 3:00,93,58.6
2024/7/26 4:00,97,58.7
2024/7/26 5:00,98,59.5
2024/7/26 6:00,96,55.4
2024/7/26 7:00,90,56.5
2024/7/26 8:00,86,55.8
2024/7/26 9:00,79,59.2
2024/7/26 10:00,66,57.8
2024/7/26 11:00,58,60.3
2024/7/26 12:00,39,57.8
2024/7/26 13:00,42,60.6
2024/7/26 14:00,37,57.2
2024/7/26 15:00,48,57.2
2024/7/26 16:00,51,58
2024/7/26 17:00,54,60.6
2024/7/26 18:00,55,59.8
2024/7/26 19:00,62,56.5
2024/7/26 20:00,84,57.5
2024/7/26 21:00,88,58.6
2024/7/26 22:00,95,59.2
2024/7/26 23:00,93,58.7
2024/7/27 0:00,95,58
2024/7/27 1:00,93,58.4
2024/7/27 2:00,95,58.6
2024/7/27 3:00,94,58.4
2024/7/27 4:00,95,58.5
2024/7/27 5:00,97,58.9
2024/7/27 6:00,94,60
2024/7/27 7:00,91,52.7
2024/7/27 8:00,90,52.8
2024/7/27 9:00,83,59.2
2024/7/27 10:00,79,59.4
2024/7/27 11:00,74,53.4
2024/7/27 12:00,57,60.2
2024/7/27 13:00,51,55.1
2024/7/27 14:00,49,59.1
2024/7/27 15:00,54,59.5
2024/7/27 16:00,48,54.5
2024/7/27 17:00,66,61.8
2024/7/27 18:00,81,57.7
2024/7/27 19:00,91,59.9
2024/7/27 20:00,94,60.4
2024/7/27 21:00,93,62.1
2024/7/27 22:00,91,61.8
2024/7/27 23:00,94,61.1
2024/7/28 0:00,95,60.8
2024/7/28 1:00,97,61.1
2024/7/28 2:00,98,61.7
2024/7/28 3:00,97,61.6
2024/7/28 4:00,95,61
2024/7/28 5:00,96,61.2
2024/7/28 6:00,91,46.7
2024/7/28 7:00,88,51.7
2024/7/28 8:00,83,56.3
2024/7/28 9:00,81,53.9
2024/7/28 10:00,69,56.2
2024/7/28 11:00,61,56.3
2024/7/28 12:00,56,53
2024/7/28 13:00,55,58.6
2024/7/28 14:00,51,52.9
2024/7/28 15:00,49,58.3
2024/7/28 16:00,47,59.1
2024/7/28 17:00,55,59.5
2024/7/28 18:00,53,59.5
2024/7/28 19:00,61,55.8
2024/7/28 20:00,60,56.1
2024/7/28 21:00,63,55.8
2024/7/28 22:00,71,56
2024/7/28 23:00,69,56.6
2024/7/29 0:00,72,56.3
2024/7/29 1:00,70,56.1
2024/7/29 2:00,72,56.8
2024/7/29 3:00,69,56.2
2024/7/29 4:00,76,56.2
2024/7/29 5:00,73,56
2024/7/29 6:00,68,53
2024/7/29 7:00,76,55.2
2024/7/29 8:00,59,54.6
2024/7/29 9:00,55,56.4
2024/7/29 10:00,47,51.4
2024/7/29 11:00,44,56.9
2024/7/29 12:00,42,52.6
2024/7/29 13:00,43,51.8
2024/7/29 14:00,45,57.2
2024/7/29 15:00,47,54.6
2024/7/29 16:00,51,46.8
2024/7/29 17:00,52,51.1
2024/7/29 18:00,52,49.7
2024/7/29 19:00,57,54.2
2024/7/29 20:00,60,54.6
2024/7/29 21:00,65,54.1
2024/7/29 22:00,66,53.8
2024/7/29 23:00,69,53.7
2024/7/30 0:00,79,54.1
2024/7/30 1:00,65,54
2024/7/30 2:00,65,53.2
2024/7/30 3:00,63,53.7
2024/7/30 4:00,66,53
2024/7/30 5:00,70,52.8
2024/7/30 6:00,67,50.9
2024/7/30 7:00,64,52.2
2024/7/30 8:00,53,51.9
2024/7/30 9:00,53,52.4
2024/7/30 10:00,53,52.4
2024/7/30 11:00,53,50.2
2024/7/30 12:00,51,51.9
2024/7/30 13:00,50,58.4
2024/7/30 14:00,52,59.5
2024/7/30 15:00,57,58.4
2024/7/30 16:00,81,59.3
2024/7/30 17:00,68,58.7
2024/7/30 18:00,67,58
2024/7/30 19:00,76,55.9
2024/7/30 20:00,79,57
2024/7/30 21:00,81,57.1
2024/7/30 22:00,78,56.6
2024/7/30 23:00,80,56.9
2024/7/31 0:00,74,56.1
2024/7/31 1:00,74,55.8
2024/7/31 2:00,75,55.9
2024/7/31 3:00,73,54.9
2024/7/31 4:00,78,55.4
2024/7/31 5:00,81,56.1
2024/7/31 6:00,79,57
2024/7/31 7:00,76,55.3
2024/7/31 8:00,67,53.7
2024/7/31 9:00,64,53.3
2024/7/31 10:00,59,52.8
2024/7/31 11:00,56,50.5
2024/7/31 12:00,55,57.6
2024/7/31 13:00,49,50.6
2024/7/31 14:00,53,55.5
2024/7/31 15:00,50,59.3
2024/7/31 16:00,47,57.3
2024/7/31 17:00,51,58.7
2024/7/31 18:00,89,58.4
2024/7/31 19:00,97,60.7
2024/7/31 20:00,97,61
2024/7/31 21:00,97,60.2
2024/7/31 22:00,96,59.6
2024/7/31 23:00,95,59.2
