datetime,temp,temp(sensor),relative_humidity,relative_humidity(sensor),barometric_pressure,barometric_pressure(sensor)
2024/7/6 12:00,32.7,24.7,68,59.1,1003.1,1003.6
2024/7/6 13:00,33.7,24.5,57,60.1,1002.8,1003.4
2024/7/6 14:00,34.3,24,57,51.7,1003.2,1003
2024/7/6 15:00,33.8,24.1,58,57.3,1003.4,1003.3
2024/7/6 16:00,31.6,24,73,55.7,1004.6,1003.5
2024/7/6 17:00,26.6,28.9,98,57.9,1005.5,1003.8
2024/7/6 18:00,25.8,30.1,99,62.2,1006,1006.2
2024/7/6 19:00,25.7,30.7,97,63.4,1005.6,1006.3
2024/7/6 20:00,25.4,31,98,63.7,1006,1006.3
2024/7/6 21:00,25.6,31.2,92,63.8,1006,1006.2
2024/7/6 22:00,25.8,31.3,91,63.5,1005.7,1006.6
2024/7/6 23:00,25.6,31.4,96,63.2,1005.5,1006.2
2024/7/7 0:00,25.4,31.4,97,63.1,1005,1005.9
2024/7/7 1:00,25.4,31.5,97,63.2,1004.8,1005.4
2024/7/7 2:00,25.2,31.5,98,63.2,1004.4,1005.2
2024/7/7 3:00,24.9,31.7,100,62.9,1004.3,1005.1
2024/7/7 4:00,25.2,31.6,100,63.1,1004.6,1005.1
2024/7/7 5:00,24.9,31.5,99,63.6,1004.6,1005.1
2024/7/7 6:00,25.3,32.4,94,61.6,1004.5,1005.2
2024/7/7 7:00,26.7,32.4,91,61.5,1004,1005.3
2024/7/7 8:00,27.1,32.7,86,61,1003.6,1004.7
2024/7/7 9:00,29.4,27.3,80,53.3,1003.2,1004.2
2024/7/7 10:00,30.5,26.2,77,59.3,1002.4,1003.8
2024/7/7 11:00,32,25.3,70,59.6,1001.6,1003
2024/7/7 12:00,33.1,24.4,56,52.3,1000.8,1002.3
2024/7/7 13:00,34.3,25.1,56,56.9,1000.2,1001.4
2024/7/7 14:00,36,23.8,48,53.5,999.7,1000.7
2024/7/7 15:00,36.6,24.7,52,56.3,999.2,1000.3
2024/7/7 16:00,36.1,25.4,51,57.9,999.2,1000
2024/7/7 17:00,35.9,24.8,49,59.6,999.6,1000
2024/7/7 18:00,35,30,53,53.9,999.8,999.9
2024/7/7 19:00,34.2,31.1,57,55.9,1000.5,1000.2
2024/7/7 20:00,32.7,31.7,62,57.4,1001.4,1000.9
2024/7/7 21:00,31.6,32.2,69,57.8,1001.8,1001.5
2024/7/7 22:00,30.6,32.3,74,59.1,1001.8,1001.9
2024/7/7 23:00,29.6,32.4,80,60,1000.9,1002.1
2024/7/8 0:00,28.7,32.5,85,60.6,1000.8,1001.7
2024/7/8 1:00,29,32.5,83,61.1,1000.2,1001
2024/7/8 2:00,28.1,32.5,88,61.5,1000,1000.6
2024/7/8 3:00,27.3,32.6,94,61.6,1000.2,1000.4
2024/7/8 4:00,27.5,32.5,90,62.1,1000.5,1000.8
2024/7/8 5:00,27.3,32.6,90,61.9,1000.5,1001.1
2024/7/8 6:00,28.9,33.2,76,60.1,1000.2,1001.1
2024/7/8 7:00,30.5,33.8,72,58.1,1000.1,1000.7
2024/7/8 8:00,32.3,29.7,63,52.6,1000.1,1000.3
2024/7/8 9:00,32.3,24.8,64,44,999.8,1000.5
2024/7/8 10:00,33.5,25.2,59,49.6,999.9,1000.2
2024/7/8 11:00,34.9,24.1,50,47.5,999.6,1000.2
2024/7/8 12:00,34.2,25.6,54,56,999.4,999.8
2024/7/8 13:00,34.7,26.2,54,52.9,999.1,999.5
2024/7/8 14:00,36.2,27,52,60.8,998.6,999.4
2024/7/8 15:00,37.2,26.5,37,59.3,998.5,999
2024/7/8 16:00,37.9,25.6,43,53.1,998.7,998.5
2024/7/8 17:00,38.2,25.5,40,53.2,999.2,998.7
2024/7/8 18:00,36.2,26.8,46,59.6,1000.3,999.5
2024/7/8 19:00,34.4,30.6,51,57.3,1001.7,1000.3
2024/7/8 20:00,32.4,31.7,68,57.6,1002.4,1001.6
2024/7/8 21:00,31.1,32.8,72,58.1,1002.8,1002.1
2024/7/8 22:00,29.1,33,78,59.2,1002.7,1002.9
2024/7/8 23:00,29,33.2,74,59.1,1002.5,1003
2024/7/9 0:00,28.6,33.4,75,58.7,1002.2,1002.9
2024/7/9 1:00,28.1,33.4,76,58.4,1001.6,1002.7
2024/7/9 2:00,27.6,33.4,79,58.4,1001.5,1002.2
2024/7/9 3:00,26.3,33.5,89,58.2,1001,1001.9
2024/7/9 4:00,26.7,33.5,85,58.2,1000.9,1001.7
2024/7/9 5:00,25.9,33.6,90,58.3,1001.1,1001.3
2024/7/9 6:00,27.5,32.8,86,60,1001,1001.7
2024/7/9 7:00,30,29.1,75,45.7,1000.4,1001.2
2024/7/9 8:00,29.3,26.3,77,46.4,1000.4,1000.7
2024/7/9 9:00,29.8,29.3,77,59.6,1000,1001
2024/7/9 10:00,29.8,27,78,54.1,999.6,1000.5
2024/7/9 11:00,32,27.2,69,58.6,998.9,1000
2024/7/9 12:00,33.8,26.8,52,59.9,999,999.3
2024/7/9 13:00,34.5,25.1,47,48.2,998.6,999
2024/7/9 14:00,33,26.5,53,57.3,998.8,999
2024/7/9 15:00,31.3,26.2,66,59.9,998.5,999.4
2024/7/9 16:00,30.9,25.9,68,60.9,998.9,999.2
2024/7/9 17:00,31.2,25.8,67,62.2,999.4,999.3
2024/7/9 18:00,30.8,25.7,63,61.9,999.7,1000.1
2024/7/9 19:00,29.3,29.8,76,58.7,1000.1,1000.2
2024/7/9 20:00,29.4,30.9,73,59.3,1001,1000.5
2024/7/9 21:00,28.7,31.5,83,60,1000.8,1001.5
2024/7/9 22:00,28.2,31.9,80,59.7,1001.3,1001.1
2024/7/9 23:00,28.1,32.3,81,60.6,1001.1,1001.8
2024/7/10 0:00,27.7,32.7,78,59.1,1000.9,1001.6
2024/7/10 1:00,27.8,32.7,73,58,1000.9,1001.3
2024/7/10 2:00,26.6,32.6,78,57.4,1001.4,1001.5
2024/7/10 3:00,26.1,32.7,81,56.5,1002.2,1001.6
2024/7/10 4:00,26.4,32.7,76,56.4,1002.3,1002.4
2024/7/10 5:00,26,32.7,82,56.4,1002.8,1002.8
2024/7/10 6:00,27.2,30.2,82,58.2,1003.3,1003.3
2024/7/10 7:00,27.9,29.7,85,57.1,1003,1003.4
2024/7/10 8:00,30,27,74,55,1003.1,1003.3
2024/7/10 9:00,30.4,26.3,71,60.4,1003,1003.3
2024/7/10 10:00,31.3,26.6,68,56.8,1002.6,1003
2024/7/10 11:00,31.5,26,72,57.2,1002.1,1002.7
2024/7/10 12:00,30.3,25.4,78,53.1,1001.4,1002.2
2024/7/10 13:00,30,25.6,79,52.1,1000.7,1001.5
2024/7/10 14:00,30.1,25.8,80,61.9,1000.1,1000.9
2024/7/10 15:00,30.7,26,79,60.5,999.4,1000.5
2024/7/10 16:00,30.3,25.6,79,61.8,998.4,999.9
2024/7/10 17:00,30.6,26.3,67,62,997.9,999.2
2024/7/10 18:00,30.9,25.6,61,59.2,997.7,998
2024/7/10 19:00,30.1,29.8,64,58,997.3,997.7
2024/7/10 20:00,29.2,30.7,75,60.3,997.1,997.4
2024/7/10 21:00,28.3,31.2,82,62.2,997,997.6
2024/7/10 22:00,26.4,31.5,87,62.4,995.4,997.3
2024/7/10 23:00,26.9,31.8,85,61,995.6,996.1
2024/7/11 0:00,27.2,31.9,86,61.8,995,995.8
2024/7/11 1:00,28.4,32,78,61.3,994.8,995.1
2024/7/11 2:00,26,31.9,90,62,994.2,994.9
2024/7/11 3:00,25.3,32.1,93,61.3,993.6,994.6
2024/7/11 4:00,24.8,32,97,61.5,994.8,994.1
2024/7/11 5:00,24.9,32,97,61.7,995,994.9
2024/7/11 6:00,25.1,29.7,97,63.2,996.2,995.4
2024/7/11 7:00,25.2,26.1,98,50.3,996.1,996.3
2024/7/11 8:00,25.5,26.4,96,58.5,996.4,997.2
2024/7/11 9:00,26.5,26.4,91,60.7,996.6,996.4
2024/7/11 10:00,26.8,26.5,89,63,997,996.7
2024/7/11 11:00,27.8,26.1,86,63.1,996.5,997.4
2024/7/11 12:00,27.6,26.3,87,62.1,996.4,997.3
2024/7/11 13:00,28.4,25.1,77,56,996.8,997.1
2024/7/11 14:00,28.3,26,79,63.5,996.5,996.8
2024/7/11 15:00,28.2,25.3,79,58,996.4,996.6
2024/7/11 16:00,27.4,26.3,80,63.4,997,996.6
2024/7/11 17:00,27.1,25.7,79,62.1,996.6,996.8
2024/7/11 18:00,26.6,25.7,80,65,997,997.4
2024/7/11 19:00,24.9,29,88,61.6,997.5,997.7
2024/7/11 20:00,24.8,29.6,87,61.2,997.9,998.3
2024/7/11 21:00,24.8,30.1,87,61.5,998.5,998.3
2024/7/11 22:00,24.4,30.3,91,60.9,998.5,998.9
2024/7/11 23:00,24.2,30.5,91,60.7,998.4,998.9
2024/7/12 0:00,24.4,30.7,91,60.8,998.1,998.7
2024/7/12 1:00,24,30.7,93,61.2,998.2,998.6
2024/7/12 2:00,24.3,30.7,93,61.3,998.6,998.8
2024/7/12 3:00,24.7,30.8,90,61.1,998.4,998.7
2024/7/12 4:00,24.6,30.8,93,61.2,998.6,998.7
2024/7/12 5:00,24.2,31,96,61.2,998.8,999
2024/7/12 6:00,24.4,27.9,96,61.2,999.2,999.2
2024/7/12 7:00,24.7,25.9,94,56.2,999.4,999.5
2024/7/12 8:00,25,25.5,97,60.3,999.2,999.9
2024/7/12 9:00,25,26.2,96,60.5,999.3,999.7
2024/7/12 10:00,25.4,26.4,97,65.2,999.2,999.9
2024/7/12 11:00,25.7,26.2,93,64.6,999,999.6
2024/7/12 12:00,25.1,25.4,88,63.4,998.9,999.4
2024/7/12 13:00,25.2,25.4,86,60.3,998.8,999.1
2024/7/12 14:00,24.5,25,91,65.5,998.8,999.1
2024/7/12 15:00,23.8,25.9,98,67.4,998.9,999.1
2024/7/12 16:00,23.6,26.1,100,67.7,999,999.2
2024/7/12 17:00,23.2,26.2,100,70.3,999.1,999.1
2024/7/12 18:00,23.2,26.2,100,68.5,999.6,999.7
2024/7/12 19:00,22.7,28.4,98,65.8,999.7,999.9
2024/7/12 20:00,22.7,28.8,99,65.7,1000.3,999.9
2024/7/12 21:00,23,29.1,99,65.4,1000.7,1000.7
2024/7/12 22:00,23.1,29.4,99,65,1000.8,1001
2024/7/12 23:00,23.1,29.7,100,63.9,1000.7,1001.3
2024/7/13 0:00,23,29.8,100,64,1000.8,1001.1
2024/7/13 1:00,22.9,29.7,100,64.2,1001,1001.2
2024/7/13 2:00,22.9,29.8,100,64.2,1001.2,1001.4
2024/7/13 3:00,22.9,29.8,100,64.4,1002.4,1001.8
2024/7/13 4:00,22.8,29.9,100,63.9,1002.9,1002.9
2024/7/13 5:00,22.9,30.1,100,63.5,1003.8,1003.7
2024/7/13 6:00,23.6,25.7,95,57.9,1004.6,1004.5
2024/7/13 7:00,25.3,26.5,89,61.8,1005,1005.2
2024/7/13 8:00,26.3,27,83,62.5,1005,1005.6
2024/7/13 9:00,27.7,25.8,75,61.4,1005.1,1005.6
2024/7/13 10:00,29.1,26.1,74,63.8,1005.2,1005.5
2024/7/13 11:00,30.4,26,61,61.9,1005.1,1005.8
2024/7/13 12:00,30.6,25.8,56,62.7,1005.1,1005.7
2024/7/13 13:00,30.7,26.3,58,61.8,1005,1005.6
2024/7/13 14:00,31,26.3,54,60.9,1005.2,1005.7
2024/7/13 15:00,31.4,26.1,47,62.8,1005.3,1006.2
2024/7/13 16:00,31.5,26.2,44,60.2,1006.1,1006.2
2024/7/13 17:00,28.8,26.6,60,62,1006.5,1007
2024/7/13 18:00,26.6,26.4,76,64.1,1007.1,1007.7
2024/7/13 19:00,26.7,29,78,60.4,1008.2,1007.9
2024/7/13 20:00,26.5,29.4,81,61.2,1008.7,1008.7
2024/7/13 21:00,26.5,29.9,83,60.9,1009,1008.9
2024/7/13 22:00,26.4,30.1,83,61.6,1009.2,1009.3
2024/7/13 23:00,25.9,30.3,87,61.5,1009.2,1009.5
2024/7/14 0:00,26.2,30.5,86,61.6,1009.3,1009.6
2024/7/14 1:00,25.4,30.5,90,61.9,1009.4,1009.6
2024/7/14 2:00,25,30.6,92,62.1,1009.5,1009.7
2024/7/14 3:00,24.9,30.5,92,62.7,1010,1009.8
2024/7/14 4:00,24.5,30.6,93,62.5,1010.2,1010.3
2024/7/14 5:00,24.5,30.5,93,63,1010.6,1010.5
2024/7/14 6:00,24.6,27.6,94,61.4,1011,1010.7
2024/7/14 7:00,24.4,27.2,95,62.2,1011.1,1011.3
2024/7/14 8:00,24.2,25.6,100,59.8,1011.8,1011.5
2024/7/14 9:00,24.3,26.2,99,63.8,1011.5,1011.9
2024/7/14 10:00,24.2,25.7,98,60.4,1011.4,1011.9
2024/7/14 11:00,24.3,26.5,98,64.4,1010.9,1011.8
2024/7/14 12:00,24.7,25.5,98,61.9,1010.5,1011.2
2024/7/14 13:00,25,27.1,98,64.2,1010.4,1010.9
2024/7/14 14:00,26.2,26,92,64.9,1010.1,1010.6
2024/7/14 15:00,26.8,25.3,90,61.4,1010.1,1010.2
2024/7/14 16:00,26.8,26.5,90,65.5,1010.3,1010
2024/7/14 17:00,25.7,26.6,96,66.8,1010.5,1010.4
2024/7/14 18:00,25.1,26.8,98,65.2,1010.8,1010.6
2024/7/14 19:00,24.6,28.4,98,65,1011.2,1011.1
2024/7/14 20:00,24.3,28.8,97,66.4,1011.5,1011.6
2024/7/14 21:00,24.2,29.2,99,66.2,1011.4,1011.7
2024/7/14 22:00,24.3,29.4,99,66,1011.6,1011.7
2024/7/14 23:00,24.3,29.6,98,66.1,1011.3,1011.8
2024/7/15 0:00,24.1,29.6,100,66.4,1011,1011.6
2024/7/15 1:00,23.9,29.7,100,66.4,1010.4,1011.3
2024/7/15 2:00,23.7,29.8,100,66.1,1010.6,1010.9
2024/7/15 3:00,23.6,29.8,100,66.3,1011,1011.1
2024/7/15 4:00,23.1,29.8,100,66.5,1010.9,1011.3
2024/7/15 5:00,22.8,29.6,97,66.8,1011.1,1011.3
2024/7/15 6:00,23,27.1,97,63.1,1011.4,1011.5
2024/7/15 7:00,23.3,25.1,95,60.1,1011.7,1011.6
2024/7/15 8:00,23.1,25.1,98,62.5,1011.9,1012
2024/7/15 9:00,23.3,24.3,97,61.2,1012.1,1011.8
2024/7/15 10:00,23.2,25.7,98,64.1,1012,1012.2
2024/7/15 11:00,22.8,25.4,99,64.8,1012,1012.6
2024/7/15 12:00,24.1,25.2,91,58.1,1011.8,1012.4
2024/7/15 13:00,25.8,25.5,83,61.9,1011.4,1012.2
2024/7/15 14:00,26.4,25,82,59.8,1011.7,1011.7
2024/7/15 15:00,27,24.9,79,64.5,1011.8,1012.1
2024/7/15 16:00,27,24.4,79,61.6,1012.2,1012.2
2024/7/15 17:00,26.3,25.8,84,64.4,1012.1,1012.4
2024/7/15 18:00,25.9,24.6,84,64.6,1012.6,1012.9
2024/7/15 19:00,25.1,27.6,81,63.7,1013.2,1013.3
2024/7/15 20:00,24.6,27.9,78,65.1,1013.5,1013.7
2024/7/15 21:00,24.4,28,79,64.4,1013.7,1014.3
2024/7/15 22:00,24.2,28.3,79,63.9,1013.3,1014.3
2024/7/15 23:00,23.9,28.4,81,63.2,1013.7,1013.9
2024/7/16 0:00,23.7,28.5,78,62.9,1013.4,1014.2
2024/7/16 1:00,23.7,28.6,79,62.4,1012.8,1014
2024/7/16 2:00,23.4,28.4,82,63,1012.6,1013.4
2024/7/16 3:00,23.2,28.7,84,61.9,1013,1013.1
2024/7/16 4:00,23.2,28.6,85,62.6,1013.3,1013.6
2024/7/16 5:00,23,28.6,86,62.3,1013.6,1013.7
2024/7/16 6:00,23,25.7,89,63.1,1014.1,1014.1
2024/7/16 7:00,23.2,24.7,89,59.7,1014,1014.5
2024/7/16 8:00,23.6,25.6,86,64.4,1014,1014.4
2024/7/16 9:00,24.3,26.3,83,66.1,1013.7,1014.2
2024/7/16 10:00,24.9,26.9,83,63.9,1013.6,1014.1
2024/7/16 11:00,24.7,24.7,87,61.5,1013.3,1014
2024/7/16 12:00,25.5,25.1,80,62.7,1013,1013.5
2024/7/16 13:00,26.1,25.6,79,66.5,1012.6,1013
2024/7/16 14:00,25.3,26.1,84,68.5,1012.3,1012.9
2024/7/16 15:00,24.7,26.1,91,67.1,1012.2,1012.6
2024/7/16 16:00,23.9,26.3,97,68.8,1012.1,1012.4
2024/7/16 17:00,23.6,25.8,99,71.6,1011.9,1012.3
2024/7/16 18:00,23.5,26.2,100,71.6,1012,1012
2024/7/16 19:00,23.1,27.3,97,70.2,1012.4,1012.3
2024/7/16 20:00,22.8,27.6,100,69.6,1012.7,1012.8
2024/7/16 21:00,22.4,27.9,100,69.2,1012.5,1012.9
2024/7/16 22:00,22.6,28,99,69,1012.2,1012.8
2024/7/16 23:00,22.4,28.2,100,68.1,1011.7,1012.7
2024/7/17 0:00,22.4,28.1,100,68.8,1010.6,1012.2
2024/7/17 1:00,22.3,28.2,100,68.2,1009.9,1011.1
2024/7/17 2:00,22.4,28.3,100,68.5,1010,1010.6
2024/7/17 3:00,22.6,28.2,100,68.7,1009.9,1010.3
2024/7/17 4:00,22.5,28.2,100,68.6,1010,1010.4
2024/7/17 5:00,22.5,28.2,100,68.6,1010.1,1010.4
2024/7/17 6:00,22.8,25.2,100,65.2,1010.1,1010.5
2024/7/17 7:00,23.3,24.9,98,64.7,1009.9,1011
2024/7/17 8:00,23.8,24.6,93,68.1,1009.9,1010.5
2024/7/17 9:00,25.4,23.9,88,60.1,1009.5,1010.3
2024/7/17 10:00,27.2,24.4,83,62.1,1009,1010.1
2024/7/17 11:00,27.7,23.6,79,63.4,1008.3,1009.7
2024/7/17 12:00,28.9,23.3,71,64,1007.9,1008.9
2024/7/17 13:00,29.7,24.4,71,67.8,1007.2,1008.5
2024/7/17 14:00,30.7,23.7,67,64.5,1006.8,1007.8
2024/7/17 15:00,31.2,24.7,63,65.2,1006.7,1007.4
2024/7/17 16:00,31.6,24.3,59,62,1006.6,1007.4
2024/7/17 17:00,30.3,24,71,64.7,1006.8,1007.2
2024/7/17 18:00,29.1,23.7,78,63.5,1007.2,1007.8
2024/7/17 19:00,28.6,27.1,79,63.9,1007.7,1008.1
2024/7/17 20:00,27.5,27.6,85,66.6,1008.2,1008.3
2024/7/17 21:00,26.8,27.9,88,68.7,1008.7,1008.7
2024/7/17 22:00,27,28.2,83,69.2,1008.9,1009.4
2024/7/17 23:00,25.8,28.4,83,68.7,1008.7,1009
2024/7/18 0:00,24.9,28.5,88,67.7,1008.1,1009.1
2024/7/18 1:00,24.7,28.5,90,67.2,1008.2,1008.7
2024/7/18 2:00,24.5,28.5,92,67.2,1008.1,1008.6
2024/7/18 3:00,24.7,28.8,90,66.2,1008,1008.5
2024/7/18 4:00,24.8,28.8,89,66.5,1008.5,1008.5
2024/7/18 5:00,24.2,29,95,66,1008.6,1008.8
2024/7/18 6:00,24.2,25.8,96,64.7,1008.8,1009.3
